image_path,mask_path
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000000.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000000_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000001.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000001_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000003.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000003_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000004.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000004_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000006.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000006_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000007.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000007_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000008.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000008_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000009.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000009_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000011.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000011_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000012.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000012_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000013.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000013_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000014.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000014_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000015.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000015_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000016.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000016_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000017.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000017_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000018.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000018_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000019.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000019_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000020.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000020_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000021.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000021_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000022.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000022_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000023.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000023_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000024.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000024_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000025.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000025_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000026.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000026_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000027.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000027_segmentation.png
../../dataset/isic_2018/ISIC2018_Task1-2_Training_Input/ISIC_0000028.jpg,../../dataset/isic_2018/ISIC2018_Task1_Training_GroundTruth/ISIC_0000028_segmentation.png
